OCCUPATION,FEMALE
days work,2066
days work,2067
days work,2072
days work,2079
days work,2087
days work,2088
days work,2090
days work,2100
days work,2101
days work,2109
days work,2115
days work,2122
days work,2132
days work,2134
days work,2144
days work,2160
days work,2165
days work,2171
days work,2177
days work,2188
days work,2190
days work,2193
days work,2197
days work,2199
days work,2201
days work,2222
days work,2224
days work,2244
days work,2247
days work,2248
days work,2254
days work,2260
days work,2276
days work,2277
days work,2288
days work,2293
days work,2301
days work,2303
days work,2308
days work,2318
days work,2319
days work,2321
days work,2332
days work,2342
days work,2345
days work,2361
days work,2368
days work,2376
days work,2389
days work,2397
days work,2404
days work,2405
days work,2416
days work,2417
days work,2419
days work,2421
days work,2430
days work,2433
days work,2441
days work,2442
days work,2443
days work,2450
days work,2451
days work,2476
days work,2484
days work,2489
days work,2491
days work,2862
days work,2876
days work,2889
days work,2894
days work,2904
days work,2907
days work,2945
days work,2970
days work,3014
days work,3042
days work,3077
days work,3079
days work,3085
days work,3087
days work,3090
days work,3091
days work,3105
days work,3107
days work,3132
days work,3161
days work,3191
days work,3227
days work,3266
days work,3279
days work,3280
days work,3288
days work,3291
days work,3324
days work,3327
days work,3356
days work,3362
days work,3373
days work,3376
days work,3390
days work,3409
days work,3417
days work,3421
days work,3434
days work,3438
days work,3442
days work,3447
days work,3453
days work,3482
days work,3484
days work,3505
days work,3530
days work,3555
days work,3580
days work,3597
days work,3616
days work,3646
days work,3660
days work,3687
days work,3716
days work,3733
days work,3736
days work,3753
days work,3761
days work,3766
days work,3777
days work,3781
days work,3790
days work,3795
days work,3821
days work,3833
days work,3838
days work,3853
days work,3856
days work,3866
days work,3897
days work,3903
days work,3908
days work,3913
days work,3927
days work,3930
days work,3934
days work,3940
days work,3953
days work,3961
days work,3962
days work,3983
days work,3994
days work,3998
days work,4011
days work,4015
days work,4016
days work,4018
days work,4023
days work,4049
days work,4051
days work,4053
days work,4062
days work,4143
days work,4148
days work,4150
days work,4161
days work,4163
days work,4195
days work,4210
days work,4211
days work,4237
days work,4267
dealer,1437
does nothing,284
does nothing,403
door mat maker,2975
eating house,3
eating house,552
eating house,760
eating house,1242
eating house,1289
eating house,1378
